epoch,step,name,value
1,1,loss,6.949494361877441
1,101,loss,6.708608627319336
1,201,loss,6.83670711517334
1,301,loss,6.822918891906738
1,401,loss,7.139217376708984
1,501,loss,6.745188236236572
1,601,loss,6.7847676277160645
1,701,loss,6.6374077796936035
1,801,loss,6.563157558441162
1,901,loss,6.396022796630859
1,1001,loss,6.761050224304199
1,1001,val_acc,0.3871128871128871
2,1,loss,7.0411810874938965
2,101,loss,6.843045234680176
2,201,loss,6.5425310134887695
2,301,loss,6.456204891204834
2,401,loss,6.633055686950684
2,501,loss,6.588177680969238
2,601,loss,6.533508777618408
2,701,loss,6.52040958404541
2,801,loss,6.397042274475098
2,901,loss,6.8908796310424805
2,1001,loss,6.467615127563477
2,1001,val_acc,0.487012987012987
